"","country","daysuntildrop","continent","location","date","population_density","gdp_per_capita","hospital_beds_per_thousand","cardiovasc_death_rate","diabetes_prevalence","handwashing_facilities","people_vaccinated_per_hundred","new_deaths_per_million","daystil"
"225","ITA",2021-05-31,"Europe","Italy",2020-03-11,205.859,35220.084,3.18,113.151,4.78,NA,NA,2.846,446
"226","UKR",2021-06-07,"Europe","Ukraine",2020-03-11,77.39,7894.393,8.8,539.849,7.11,NA,NA,0,453
"227","SRB",2021-06-09,"Europe","Serbia",2020-03-11,80.291,14048.881,5.609,439.415,10.08,97.719,NA,0,455
"228","BIH",2021-06-14,"Europe","Bosnia and Herzegovina",2020-03-11,68.496,11713.895,3.5,329.635,10.08,97.164,NA,0,460
"229","LTU",2021-06-18,"Europe","Lithuania",2020-03-11,45.135,29524.265,6.56,342.989,3.67,NA,NA,0,464
"230","ROU",2021-06-21,"Europe","Romania",2020-03-11,85.129,23313.199,6.892,370.946,9.74,NA,NA,0,467
"231","PER",2021-07-11,"South America","Peru",2020-03-11,25.129,12236.706,1.6,85.755,5.95,NA,NA,0,487
"232","COL",2021-09-07,"South America","Colombia",2020-03-11,44.223,13254.949,1.71,124.24,7.44,65.386,NA,0,545
"233","BRA",2021-09-08,"South America","Brazil",2020-03-11,25.04,14103.452,2.2,177.961,8.11,NA,NA,0,546
"234","RUS",2022-05-02,"Europe","Russia",2020-03-11,8.823,24765.954,8.05,431.297,6.18,NA,NA,0,782
